번호,제목,링크
0," ‘해외 인재 흡수’ 중국 천인계획, 국내 출연연 연구진 영입 시도 ",http://v.daum.net/v/20251106120914339
1, 해외 일자리 찾아… 부산청년 글로벌 취업박람회 ,http://v.daum.net/v/20251110104812967
2," ‘친애하는X’ 김영대, 해외서도 통했다 ",http://v.daum.net/v/20251110093114151
3," 씨앤씨인터내셔널, 3Q 매출 소폭 증가…해외 매출 비중 확대 ",http://v.daum.net/v/20251110162916055
4, [칼럼] '해외에 있으면 괜찮다'는 착각… 상속세는 국경을 넘는다 ,http://v.daum.net/v/20251110101111086
5," 밸로프, 해외 게임사 대상 '국내 대리인 지정 맞춤 서비스' 공식 출시 ",http://v.daum.net/v/20251110114739390
6, 해외 여행비 캐시백에… 환전·ATM 수수료 면제해준다 ,http://v.daum.net/v/20251110003847571
7, 공개 나흘 만에…해외에서 슬슬 반응 오고있다는 韓 드라마 정체 ,http://v.daum.net/v/20251110105349305
8," 김포도시철도 노동조합, 김병수 시장 해외 출장 비난 시위 ",http://v.daum.net/v/20251110154305838
9," 영주 샤인머스캣, 대만 수출 선적… 해외시장 본격 공략 ",http://v.daum.net/v/20251110145614422
10," ‘국경 없는 결제 전쟁’ 본격화…네·카·토, 해외 오프라인 점령전 ",http://v.daum.net/v/20251109080713809
11, 캄보디아 등 해외 범죄조직 자금세탁 도운 일당 송치 ,http://v.daum.net/v/20251110145148153
12," 대한핸드볼협회, 유망주 14명 헝가리 ‘NEKA’ 해외 연수 파견 ",http://v.daum.net/v/20251110095108082
13," 해외입양동포, 부산서 모국 문화 체험 ",http://v.daum.net/v/20251110115651714
14," 충주시, 기업 해외시장 진출 지원…올해 81억 수출 성과 ",http://v.daum.net/v/20251110154022725
15," KBL-한국관광공사, 해외 농구팬 유치 위한 MOU 체결 ",http://v.daum.net/v/20251110152547038
16, 치킨·햄버거·커피 할 것 없이 해외로…내수시장 한계 봉착했나 ,http://v.daum.net/v/20251110132703047
17, 울산 대양주 소비재 시장개척단 파견…해외판로 확대 ,http://v.daum.net/v/20251110142739564
18," 하나은행, 해외 교민 위한 '찾아가는 패밀리오피스 세미나' 확대… 스포츠 후원으로 ESG 경영 강화 ",http://v.daum.net/v/20251110125247071
19," 센트비·토스, 외국인 전용 해외송금 국가 14개국으로 확대 ",http://v.daum.net/v/20251110114250176
20, '1조5천억원' 해외 범죄조직 도운 대포통장 유통조직 검거..10명 구속 송치 ,http://v.daum.net/v/20251110143251834
21," 한국공항공사, 해외바이어 초청 상담회…6개 기업과 양해각서 체결 ",http://v.daum.net/v/20251110112743368
22," [강현철의 뉴스 솎아내기] 기업·개인투자, 해외로 쏠리는 이유 ",http://v.daum.net/v/20251109171425781
23," 서학개미 열풍에 해외주식 투자 사상 최대...""日처럼 해외 의존도 높아질라"" ",http://v.daum.net/v/20251104164647624
24," ""큰물서 놀자""⋯'역직구'로 해외 공략 가속 ",http://v.daum.net/v/20251110050226802
25," 한국콜마, 해외법인 실적 불확실성 확대…목표가 30%↓-대신 ",http://v.daum.net/v/20251110073946731
26," '헝가리에서 배운다' 대한핸드볼협회, 우수선수 해외연수 파견 시행 ",http://v.daum.net/v/20251110085313319
27, ‘대포폰’ 개통 해외 밀수출 보험사기 일당 60명 검거 ,http://v.daum.net/v/20251110155712553
28," 리벨리온, 해외 VC 러브콜 받으며 3500억 원 유치 완료 ",http://v.daum.net/v/20251110155026211
29, 휴대폰 분실 신고 46억 꿀꺽→대포폰 만들어 해외 밀수출 ,http://v.daum.net/v/20251110105649434
